gene_id	gene_short_name	cluster	Cartilage_GO:0051216	HH_GO:0007224	WNT_GO:0016055	BMP_GO:0030509	TGFb_GO:0007179	FGFR_GO:0008543	panel	highlight
ENSMUSG00000026459	Myog	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000026452	Syt2	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000042793	Lgr6	A	no	no	yes	no	no	no	WNT main	yes
ENSMUSG00000026418	Tnni1	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000026414	Tnnt2	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000026407	Cacna1s	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000026394	Atp6v1g3	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000052726	Kcnt2	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000042671	Rgs8	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000004110	Cacna1e	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000033544	Angptl1	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000073530	Pappa2	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000040170	Fmo2	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000026572	Tbx19	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000026683	Nuf2	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000026649	Cfap126	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000056569	Mpz	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000058715	Fcer1g	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000007097	Atp1a2	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000070504	Fcrl6	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000073489	Ifi204	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000039748	Exo1	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000026489	Coq8a	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000026610	Esrrg	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000010175	Prox1	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000026630	Batf3	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000026669	Mcm10	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000026676	Ccdc3	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000004113	Cacna1b	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000026955	Sapcd2	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000009214	Mymk	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000047363	Cstad	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000039476	Prrx2	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000026870	Cutal	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000000247	Lhx2	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000026950	Neb	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000075334	Rprm	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000060988	Galnt13	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000026824	Kcnj3	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000026832	Cytip	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000075318	Scn2a	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000075316	Scn9a	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000005233	Spc25	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000005232	G6pc2	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000075307	Klhl41	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000075304	Sp5	A	no	no	no	no	no	no	WNT main	
ENSMUSG00000070880	Gad1	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000068859	Sp9	C	no	no	no	no	no	no	WNT main	yes
ENSMUSG00000027107	Chrna1	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000075273	Ttc30b	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000056436	Cyct	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000051747	Ttn	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000027014	Cwc22	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000026999	Nup35	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000040495	Chrm4	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000027215	Cd82	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000061311	Rag1	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000027188	Pamr1	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000042604	Kcna4	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000027115	Kif18a	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000048482	Bdnf	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000074968	Ano3	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000074934	Grem1	A	no	no	no	no	no	no	Bmp main	yes
ENSMUSG00000023236	Scg5	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000068614	Actc1	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000040093	Bmf	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000045838	Ccdc9b	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000072980	Oip5	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000027306	Nusap1	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000098488	Pla2g4b	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000027379	Bub1	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000048327	Ckap2l	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000050558	Prokr2	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000074771	Ankef1	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000039092	Sptlc3	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000027416	Otor	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000074736	Syndig1	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000032852	Rspo4	A	no	no	yes	no	no	no	WNT main	yes
ENSMUSG00000032715	Trib3	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000059361	Nrsn2	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000027596	a	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000084897	Gm14226	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000027597	Ahcy	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000053141	Ptprt	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000017861	Mybl2	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000074607	Tox2	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000017002	Slpi	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000016995	Matn4	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000053166	Cdh22	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000074575	Kcng1	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000027544	Nfatc2	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000067578	Cbln4	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000028640	Tfap2c	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000078870	Gm14410	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000094786	Gm14403	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000027570	Col9a3	B	no	no	no	no	no	no	cartilage main	
ENSMUSG00000027574	Nkain4	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000027577	Chrna4	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000103034	Gm8797	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000027500	Stmn2	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000027536	Chmp4c	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000060913	Trim55	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000037661	Gpr160	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000037625	Cldn11	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000069072	Slc7a14	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000046743	Fat4	B	no	no	no	no	no	yes	NA	NA
ENSMUSG00000069041	Slc25a31	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000027737	Slc7a11	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000037016	Frem2	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000034098	Fstl5	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000033981	Gria2	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000102692	Dchs2	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000027996	Sfrp2	B	yes	no	yes	no	no	no	cartilage main	yes
ENSMUSG00000041842	Fhdc1	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000051000	Fam160a1	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000031286	Glt28d2	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000015852	Fcrls	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000059743	Fdps	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000027954	Efna1	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000000794	Kcnn3	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000027940	Tpm3	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000027939	Nup210l	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000028150	Rorc	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000015947	Fcgr1	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000038403	Hjv	B	no	no	no	yes	no	no	NA	NA
ENSMUSG00000038393	Txnip	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000027875	Hmgcs2	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000027869	Hsd3b6	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000027861	Casq2	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000027859	Ngf	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000027855	Sycp1	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000048938	Nr1h5	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000027840	Wnt2b	A	no	no	yes	no	no	no	WNT main	yes
ENSMUSG00000033377	Palmd	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000028116	Myoz2	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000027971	Ndst4	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000028031	Dkk2	A	no	no	yes	no	no	no	WNT main	yes
ENSMUSG00000090066	1110002E22Rik	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000052430	Bmpr1b	B	yes	no	no	yes	yes	no	cartilage main	yes
ENSMUSG00000028255	Clca1	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000028036	Ptgfr	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000039058	Ak5	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000028360	Slc44a5	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000040037	Negr1	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000028179	Cth	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000028175	Depdc1a	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000045573	Penk	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000028211	Trp53inp1	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000028222	Calb1	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000095139	Pou3f2	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000044288	Cnr1	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000028264	Spaca1	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000073877	Gm13306	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000094686	Ccl21a	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000066196	Spag8	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000028341	Nr4a3	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000039579	Grin3a	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000015243	Abca1	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000061540	Orm2	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000028396	2310002L09Rik	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000043753	Dmrta1	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000052684	Jun	B	no	no	no	no	yes	no	NA	NA
ENSMUSG00000028519	Dab1	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000044254	Pcsk9	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000034926	Dhcr24	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000028613	Lrp8	A	no	no	no	no	no	no	WNT main	
ENSMUSG00000028600	Podn	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000028546	Elavl4	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000034185	6430628N08Rik	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000028707	Dmbx1	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000034171	Faah	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000043155	Hpdl	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000028680	Plk3	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000028637	Ccdc30	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000052135	Foxo6	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000028633	Ctps	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000028626	Col9a2	B	no	no	no	no	no	no	cartilage main	
ENSMUSG00000028655	Mfsd2a	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000090125	Pou3f1	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000028871	Rspo1	A	no	no	yes	no	no	no	WNT main	
ENSMUSG00000001334	Fndc5	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000040533	Matn1	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000070720	Tmem200b	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000028885	Smpdl3b	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000050966	Lin28a	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000028834	Trim63	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000028838	Extl1	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000078521	Aunip	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000070691	Runx3	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000028803	Nipal3	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000037139	Myom3	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000036995	Asap3	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000028661	Epha8	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000028766	Alpl	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000045349	Sh2d5	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000028758	Kif17	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000025330	Padi4	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000065999	Zfp985	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000066000	Zfp979	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000078495	Zfp984	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000029022	Miip	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000029001	Fbxo44	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000006442	Srm	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000028982	Slc25a33	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000029070	Mxra8	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000061601	Pclo	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000039934	Gsap	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000038295	Atg9b	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000045294	Insig1	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000002633	Shh	A	no	yes	no	no	no	no	fgf and HH main	yes
ENSMUSG00000029130	Rnf32	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000001566	Mnx1	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000044576	Garem2	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000013629	Cad	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000029102	Hgfac	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000044716	Dok7	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000067438	Hmx1	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000029096	Htra3	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000029095	Ablim2	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000029123	Stk32b	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000048450	Msx1	A	yes	no	no	yes	no	no	Bmp main	yes
ENSMUSG00000049691	Nkx3-2	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000061535	C1qtnf7	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000029167	Ppargc1a	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000044827	Tlr1	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000051498	Tlr6	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000000560	Gabra2	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000029211	Gabra4	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000029219	Slc10a4	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000029155	Spata18	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000049907	Rasl11b	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000034981	Parm1	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000029314	Gpat3	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000029309	Sparcl1	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000029304	Spp1	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000072774	Zfp951	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000072720	Myo18b	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000029591	Ung	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000043913	Ccdc60	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000061578	Ksr2	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000029603	Dtx1	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000042647	Acad12	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000029456	Acad10	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000037962	Rflna	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000008348	Ubc	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000029482	Aacs	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000070498	Tmem132b	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000034324	Tmem132c	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000049971	Glt1d1	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000034310	Tmem132d	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000081683	Fzd10	A	no	no	yes	no	no	no	WNT main	
ENSMUSG00000095789	Nupr1l	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000040557	Mettl27	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000049551	Fzd9	B	no	no	yes	no	no	no	NA	NA
ENSMUSG00000006143	Upk3bl	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000004952	Rasa4	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000037411	Serpine1	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000053647	Gper1	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000036526	Card11	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000093910	Zfp853	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000029651	Mtus2	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000047735	Samd9l	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000023964	Calcr	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000029757	Dync1i1	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000061762	Tac1	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000032625	Thsd7a	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000079679	Vwde	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000009376	Met	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000029695	Aass	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000039904	Gpr37	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000049939	Lrrc4	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000079654	Prrt4	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000071553	Cpa2	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000056215	Lrguk	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000029830	Svopl	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000029925	Tbxas1	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000057716	Tmem178b	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000005503	Evx1	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000053007	Creb5	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000086040	Wipf3	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000019124	Scrn1	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000038065	Mturn	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000004347	Pde1c	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000045441	Gprin3	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000054474	Thnsl2	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000055027	Smyd1	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000072476	Gm9008	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000005667	Mthfd2	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000034777	Vax2	A	no	no	yes	no	no	no	WNT main	
ENSMUSG00000033508	Asprv1	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000030088	Aldh1l1	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000059187	Tafa1	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000044086	Lmod3	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000030075	Cntn3	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000064293	Cntn4	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000009394	Syn2	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000030134	Rasgef1a	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000030111	A2m	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000040613	Apobec1	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000038527	C1rl	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000023505	Cdca3	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000038115	Ano2	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000030351	Tspan11	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000030359	Pzp	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000042638	Gucy2c	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000030223	Ptpro	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000030226	Lmo3	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000041540	Sox5	B	yes	no	no	no	no	no	cartilage main	yes
ENSMUSG00000030268	Bcat1	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000030255	Sspn	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000040187	Arntl2	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000040121	Rep15	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000030306	Tmtc1	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000043432	Leng9	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000064179	Tnnt1	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000033967	Rnf225	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000001918	Slc1a5	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000074272	Ceacam1	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000089661	Mia	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000053522	Lgals7	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000036570	Fxyd1	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000002068	Ccne1	A	no	no	yes	no	no	no	NA	NA
ENSMUSG00000030423	Pop4	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000004609	Cd33	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000055102	Zfp819	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000094152	Slc6a16	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000038239	Hrc	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000040428	Plekha4	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000070564	Ntn5	C	no	no	no	no	no	no	NA	NA
